,accuracy,phone,layer,strat,voicing,articulation,model,language,phone_type
18,0.46153846153846156,m,0,3,other,other,wav2vec-small,hindi,
19,0.3076923076923077,n,0,3,other,dental,wav2vec-small,hindi,
20,0.5714285714285714,o,0,3,other,other,wav2vec-small,hindi,
21,0.38461538461538464,p,0,3,voiceless_unaspirated,other,wav2vec-small,hindi,
22,0.5,pʰ,0,3,voiceless_aspirated,other,wav2vec-small,hindi,
23,0.16666666666666666,q,0,3,other,other,wav2vec-small,hindi,
24,0.5384615384615384,r,0,3,other,dental,wav2vec-small,hindi,
25,0.3076923076923077,r̩,0,3,other,dental,wav2vec-small,hindi,
26,0.7142857142857143,s,0,3,other,dental,wav2vec-small,hindi,
27,0.9230769230769231,spn,0,3,other,other,wav2vec-small,hindi,
28,0.5,t,0,3,voiceless_unaspirated,dental,wav2vec-small,hindi,
29,0.23076923076923078,tʰ,0,3,voiceless_aspirated,dental,wav2vec-small,hindi,
30,0.3076923076923077,t͡ʃ,0,3,voiceless_unaspirated,other,wav2vec-small,hindi,
31,0.7857142857142857,t͡ʃʰ,0,3,voiceless_aspirated,other,wav2vec-small,hindi,
32,0.3076923076923077,u,0,3,other,other,wav2vec-small,hindi,
33,0.7142857142857143,uː,0,3,other,other,wav2vec-small,hindi,
34,0.15384615384615385,v,0,3,other,other,wav2vec-small,hindi,
35,0.5555555555555556,w,0,3,other,other,wav2vec-small,hindi,
36,0.3333333333333333,x,0,3,other,other,wav2vec-small,hindi,
37,0.3076923076923077,z,0,3,other,dental,wav2vec-small,hindi,
38,0.0,ã,0,3,other,other,wav2vec-small,hindi,
39,0.5384615384615384,ãː,0,3,other,other,wav2vec-small,hindi,
40,0.7692307692307693,æ,0,3,other,other,wav2vec-small,hindi,
41,0.6428571428571429,æː,0,3,other,other,wav2vec-small,hindi,
42,0.8461538461538461,ŋ,0,3,other,other,wav2vec-small,hindi,
43,0.0,ũ,0,3,other,other,wav2vec-small,hindi,
44,0.6,ũː,0,3,other,other,wav2vec-small,hindi,
45,0.38461538461538464,ɑ,0,3,other,other,wav2vec-small,hindi,
46,0.5,ɔ,0,3,other,other,wav2vec-small,hindi,
47,0.15384615384615385,ɔː,0,3,other,other,wav2vec-small,hindi,
48,0.5384615384615384,ɖ,0,3,voiced_unaspirated,retroflex,wav2vec-small,hindi,
49,0.42857142857142855,ɖ̤,0,3,voiced_aspirated,retroflex,wav2vec-small,hindi,
50,0.23076923076923078,ə,0,3,other,other,wav2vec-small,hindi,
51,0.0,ə̃,0,3,other,other,wav2vec-small,hindi,
52,0.1,ɛ,0,3,other,other,wav2vec-small,hindi,
53,0.5,ɡ,0,3,voiced_unaspirated,other,wav2vec-small,hindi,
54,0.38461538461538464,ɡ̤,0,3,voiced_aspirated,other,wav2vec-small,hindi,
55,0.4444444444444444,ɣ,0,3,other,other,wav2vec-small,hindi,
56,0.38461538461538464,ɦ,0,3,other,other,wav2vec-small,hindi,
57,0.23076923076923078,ɪ,0,3,other,other,wav2vec-small,hindi,
58,0.7142857142857143,ɲ,0,3,other,other,wav2vec-small,hindi,
59,0.23076923076923078,ɳ,0,3,other,retroflex,wav2vec-small,hindi,
60,0.42857142857142855,ɹ,0,3,other,other,wav2vec-small,hindi,
61,0.2857142857142857,ɹ̩,0,3,other,other,wav2vec-small,hindi,
62,0.38461538461538464,ɽ,0,3,other,retroflex,wav2vec-small,hindi,
63,0.42857142857142855,ɽ̥,0,3,other,retroflex,wav2vec-small,hindi,
64,0.15384615384615385,ʂ,0,3,other,retroflex,wav2vec-small,hindi,
65,0.6923076923076923,ʃ,0,3,other,other,wav2vec-small,hindi,
66,0.5714285714285714,ʈ,0,3,voiceless_unaspirated,retroflex,wav2vec-small,hindi,
67,0.46153846153846156,ʈʰ,0,3,voiceless_aspirated,retroflex,wav2vec-small,hindi,
68,0.5,ʊ,0,3,other,other,wav2vec-small,hindi,
69,0.0,ʌ,0,3,other,other,wav2vec-small,hindi,
70,0.0,θ,0,3,other,other,wav2vec-small,hindi,
71,0.5,ẽ,0,3,other,other,wav2vec-small,hindi,
0,0.7692307692307693,SIL,0,4,other,other,wav2vec-small,hindi,
1,0.6923076923076923,a,0,4,other,other,wav2vec-small,hindi,
2,0.5,aː,0,4,other,other,wav2vec-small,hindi,
3,0.6153846153846154,b,0,4,voiced_unaspirated,other,wav2vec-small,hindi,
4,0.35714285714285715,b̤,0,4,voiced_aspirated,other,wav2vec-small,hindi,
5,0.3076923076923077,d,0,4,voiced_unaspirated,dental,wav2vec-small,hindi,
6,0.5384615384615384,d̤,0,4,voiced_aspirated,dental,wav2vec-small,hindi,
7,0.2857142857142857,d͡ʒ,0,4,voiced_unaspirated,other,wav2vec-small,hindi,
8,0.46153846153846156,d͡ʒ̤,0,4,voiced_aspirated,other,wav2vec-small,hindi,
9,0.6428571428571429,e,0,4,other,other,wav2vec-small,hindi,
10,0.23076923076923078,f,0,4,other,other,wav2vec-small,hindi,
11,0.0,h,0,4,other,other,wav2vec-small,hindi,
12,0.0,i,0,4,other,other,wav2vec-small,hindi,
13,0.5714285714285714,iː,0,4,other,other,wav2vec-small,hindi,
14,0.6153846153846154,j,0,4,other,other,wav2vec-small,hindi,
15,0.42857142857142855,k,0,4,voiceless_unaspirated,other,wav2vec-small,hindi,
